session_id,session_title,session_description,session_type,start_datetime,end_datetime,duration_mins,duration_formatted,cost,prereg_link,skill_level,day,recorded,speakers,location,url,bio_html
1050,Bill Tracker: How to collect and analyze legislative data for any beat,"This session explains how any reporter can search for pending legislation in any state – or across the country – collect the data and analyze it through a new tool developed with journalists in mind. This bill tracker, through BillTrack50, allows journalists to search for bills by topic and analyze the data going back 14 years. The tool integrates machine learning, which allows searches with greater precision, reducing misses resulting from simple keyword searches. Come to this session to learn how to use it. See the application of the tool by the University of Florida Brechner Freedom of Information Project to track secrecy legislation, and hear from the data experts at Stanford University’s Big Local News on possible applications of this data, along with other civic information search tools they provide for journalists.
This sessions is good for beginners.
Laptops will be provided.",Hands-on,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,Beginner,Thursday,No,David Cuillier - Brechner FOI Project,"Crystal Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1050,
1148,Bringing data journalism to the sports section,"Sports is absolutely drowning in data and there is a large and hungry audience for sports content. Alongside that, there's a large and growing open-source sports analytics community that data journalists should be a part of. In this hands-on class, speakers will take you through examples of ways to use traditional data journalism tools like R and the Tidyverse to bring in up-to-the-moment sports data and do sophisticated analysis that you can immediately visualize to add context to seasons, leagues and sports.
This session is good for journalists with some R experience.
Laptops will be provided.",Hands-on,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,Beginner,Thursday,No,"Matt Waite - University of Nebraska, MaryJo Webster - Minnesota Star Tribune, Derek Willis - University of Maryland","Deer Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1148,
1057,Datawrapper hacks,"This session is for people who are comfortable with the basic settings on Datawrapper but looking for more ways to upscale their visualizations. Some basic HTML knowledge is preferred but not necessary.

Attendees will need to bring their own laptop (no tablets) for the training and will need a free Datwrapper account to participate.",Hands-on,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,Beginner,Thursday,No,"Taylor Johnston - CBS News, Grace Manthey - CBS News & Stations","Gray's Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1057,
1089,Get AI to read all that stuff with semantic search,"Semantic search is a novel way to search large sets of short-ish text, like datasets of complaints, incident reports or social media posts. Instead of keyword search – which misses misspellings, paraphrase and use of terms that the user hasn't thought of  – semantic search finds results whose meaning is similar to that of the query.

It's a guaranteed-safe way to use AI in a newsroom context, because the only downside of a ""false positive"" match is wasting the reporter's time in reading the irrelevant search results.

Let's talk about the use-cases where we've used it, the fiddly choices we have to make when using semantic search, and the bright new future that awaits us.",Panel,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,,Thursday,Yes,"Dana Chieuh - Minnesota Star Tribune, Dylan Freedman - The New York Times, Jeremy Merrill - The Washington Post, Steven Rich - The Washington Post","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1089,
1013,How to start investigating your college or university with data and records,"Are you a student journalist who wishes they had a clearer road map to how to get started doing accountability journalism on your college campus? Let's talk about how to get started. A session for total beginners. Let's talk about open records laws, federally required disclosure like IRS Form 990 and the Clery Act, and what's available to you even if you're at a private institution.",Panel,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,,Thursday,Yes,"Mark Greenblatt - Arizona State University/Howard Center for Investigative Reporting, Deborah Nelson - University of Maryland, Jennifer Peebles - Atlanta Journal-Constitution","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1013,
1112,Turning police disciplinary files into data and stories,"So you got your hands on a trove (or at least a pile) of documents about police misconduct —  what do you do? Our panelists will walk through the life of a document dump from a mess of PDFs to high-impact reporting. On this journey from documents to data, no detail will be spared. We’ll cover organizing and sharing the documents, testing OCR, hand-annotating, using LLMs and most importantly, finding stories in the haystacks of text. The tools and approaches we’ll cover in this panel will be useful even if your document trove isn’t about police misconduct. And if you’re looking to get your hands on police disciplinary files like the ones we’re working with, we’ll have some ideas for that too.",Demo,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,Beginner,Thursday,Yes,"Dillon Bergin - MuckRock, Elizabeth Santos - UC Berkeley, Sammy Sussman - New York Times Local Investigations Fellowship, Emily Zentner - The California Newsroom","Grand Portage Ballroom 4, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1112,
1153,Using CAPTCHA-solving services to automate difficult web-scraping projects,"This class will teach attendees how to use CAPTCHA-solving services to automate CAPTCHA solutions in web scraping. Attendees will learn how to efficiently identify and send required elements to the CAPTCHA-solving service and apply the unique codes received to navigate past CAPTCHAs encountered during web scraping. Special focus will be placed on tackling Google's reCAPTCHA v2, a commonly used CAPTCHA on the web, alongside strategies for overcoming challenges presented by more complex websites. The class will provide practical skills in CAPTCHA solving, equipping attendees with the knowledge to implement these solutions in their projects.
This session is good for journalists with some Python experience. Laptops will be provided.",Hands-on,2025-03-06T17:30:00Z,2025-03-06T18:30:00Z,60,1h,,,Advanced,Thursday,No,Ryan Little - The Baltimore Banner,"St. Croix I, sixth floor",https://schedules.ire.org/nicar-2025/index.html#1153,
1048,50 free government data sets in 50 minutes,"Why take time to argue with government records custodians when you can grab story-ripe data online for free? This session will run through 50 free datasets in 50 minutes – a twist on the 50 FOIA requests in 50 minutes. The classics, like dams, train wrecks, and bridge inspections, but also new ideas that the savvy data journalist may have missed. It will show where the datasets are located, what stories can be generated, and any caveats, with a handout providing all the relevant links to the data and IRE Resource Center tip sheets.",Panel,2025-03-06T20:15:00Z,2025-03-06T21:15:00Z,60,1h,,,,Thursday,Yes,"David Cuillier - Brechner FOI Project, Sydney Sims - Brechner FOI Project","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1048,
1055,Advanced Python mapping techniques,"Roughly a quarter of Americans live more than 30 minutes away from a high-level trauma center. Peer-reviewed research suggests that this distance can literally make the difference between a patient living or dying of a traumatic injury. In this session I would explain how we used cutting-edge GIS tools in Python to map trauma care deserts in the United States for the IRE Award-winning series ""Bleeding Out."" The methods we use for this project can be generalized for lots of journalistic applications, from reproductive healthcare to food deserts.

This session is good for those with experience using Python and Pandas.
Laptops will be provided.",Hands-on,2025-03-06T20:15:00Z,2025-03-06T21:15:00Z,60,1h,,,Advanced,Thursday,No,Ari Sen - CBS News,"Lafayette Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1055,
1062,Getting the most out of Datawrapper *pre-registered attendees only,"Datawrapper is a powerful data visualization tool with capability that goes far beyond bar and line charts. Whether you’re freelancing, covering a beat for your local newspaper or working for a national news organization, Datawrapper’s free and paid versions make the tool accessible for any budget. In this workshop, we’ll cover:

- Making mobile-friendly (and mobile-first!) graphics
- Basic visualizations like bar and line charts as well as more advanced visualizations like maps, tables and timelines
- How to use Datawrapper Academy to independently learn new tools and tricks
- Improving accessibility for Datawrapper graphics
- How to incorporate Datawrapper into your newsroom’s regular workflow
- Implementing a workflow for editing and fact-checking Datawrapper graphics

This class is good for people who have basic familiarity with Datawrapper or other point-and-click data viz tools. Attendees will need to bring their own laptop (no tablets) to participate in this class.",Pre-registration - Hands-on,2025-03-06T20:15:00Z,2025-03-06T23:45:00Z,210,3h 30m,40,https://www.ire.org/product/nicar25-getting-the-most-out-of-datawrapper/,Intermediate,Thursday,No,"Madi Alexander - Politico, Catherine Allen - Politico, Taylor Thomas - Politico","Gray's Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1062,
1011,How to run visual investigations,"How to collaborate across the newsroom, alongside graphics, photo and video desks, to identify distinct investigative storylines that can only be told visually.",Panel,2025-03-06T20:15:00Z,2025-03-06T21:15:00Z,60,1h,,,,Thursday,Yes,"Joyce Lee - The Washington Post, Maureen Linke - The Wall Street Journal, Ryan McNeill - Reuters, John West - The Wall Street Journal","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1011,
1104,Learning a new beat in data,"Lots of early-career data and graphics journalists may find themselves working on a niche beat new to them, with complicated data, hard-to-find data sources, and a need for in-depth knowledge to truly excel in their reporting. This session will provide a primer on how to build data-specific sources and contacts (including a tipsheet with some of this information for a range of beats), how to get your footing in a topic that's brand new, and how to emerge as an expert in your beat.",Panel,2025-03-06T20:15:00Z,2025-03-06T21:15:00Z,60,1h,,,,Thursday,Yes,"Rosmery Izaguirre - Politico, Paroma Soni - Politico","Grand Portage Ballroom 4, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1104,
1137,Spatial analysis in R: 101,"Learn how to use spatial functions in R to level up your reporting. We’ll explore tools for mapping, spatial joins, buffering and calculating distance — all using a single package. We’ll center a story published by The Baltimore Banner on gun violence around schools to showcase an application of these functions and demonstrate best practices for basic geospatial analysis.
This session is good for beginner and intermediate journalists with some familiarity with R.
Laptops will be provided.",Hands-on,2025-03-06T20:15:00Z,2025-03-06T21:15:00Z,60,1h,,,Intermediate,Thursday,No,"Ryan Little - The Baltimore Banner, Shreya Vuttaluru - Tampa Bay Times","Spring Park Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1137,
1068,Elevate your graphics with Illustrator,"Vector graphics programs like Illustrator are great tools for creating beautiful, unique data visualizations and graphics – but it doesn’t need to all be done from scratch. In this session, we will go over ways to begin making your chart using tools that most newsrooms already use (like Datawrapper, RawGraphs, Flourish and ggplot) and elevate its design with the magic of SVGs and vector graphics programs. 

This session is good for journalists with some data and data visualization knowledge.",Hands-on,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,Intermediate,Thursday,No,"Adam Marton - Philip Merrill College of Journalism, University of Maryland","Birch Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1068,
1037,Extracting data from documents with AI,"Come to this session to learn how to use AI to ""read"" documents like PDFs and Excel files. It's more than just feeding the documents in and asking for data. This session will go over techniques as well as common pitfalls and how to avoid them.",Demo,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,,Thursday,Yes,"Rosmery Izaguirre - Politico, Sean McMinn - Politico, Jonathan Soma - Columbia University","Grand Portage Ballroom 4, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1037,
1168,Follow the money: How to use campaign finance data in your reporting,"This workshop will approach covering campaign finance as if we are writing our first story on the beat, using a dataset on donations to mayoral candidates in the San Francisco general election. We’ll go over the data structure, filing requirements and then delve into the dataset to run some basic analyses and workshop story ideas. We'll also share examples of stories that were published using the exact same data. You should come away from this workshop with a good idea of what kind of campaign finance data is available and how you can incorporate it in your reporting — no matter where you are reporting from. This session is good for all levels of experience.
Laptops will be provided.",Hands-on,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,Beginner,Thursday,No,Kelly Waldron - Mission Local,"Crystal Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1168,
1051,Going deeper with Census microdata: IPUMS is your friend,Census microdata allows you to look at demographic trends that are impossible to find in Census summary data. This session will introduce you to the various free IPUMS tools to work with microdata and give you examples of how journalists have used this data in stories.,Panel,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,,Thursday,Yes,"Paul Overberg - The Wall Street Journal, David Van Riper - IPUMS, MaryJo Webster - Minnesota Star Tribune","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1051,
1173,Using open-source intelligence (OSINT) in investigations,"This session will show how journalists can begin incorporating open-source research methodologies in their investigations, with examples from real articles.",Panel,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,,Thursday,Yes,Tristan Lee - Bellingcat,"Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1173,
1039,Which coding language to use and why,"Journalists may use a variety of coding languages for data investigations or for news application development. Each project and each newsroom has a unique tech stack. You might be wondering: which ones should I try? Our panelists will discuss projects they’ve pursued with code, which languages they used, and why.",Commons,2025-03-06T21:30:00Z,2025-03-06T22:30:00Z,60,1h,,,Beginner,Thursday,Yes,"Carla Astudillo - The Texas Tribune, Tazbia Fatima - Hearst, Nael Shiab - CBC News, Kai Teoh - The Dallas Morning News","Grand Portage Ballroom 3, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1039,
1196,Developing an ethical AI policy for your newsroom,"Join news leaders to discuss the why, when, and how to develop an AI policy for your newsroom.",Panel,2025-03-06T22:45:00Z,2025-03-06T23:45:00Z,60,1h,,,,Thursday,Yes,"Darla Cameron - The Texas Tribune, Silvia Dal Ben Furtado - University of Texas at Austin School of Journalism and Media, Andrew Ford - USA Today / Gannett, Josh Hinkle - KXAN, Cynthia Tu - Sahan Journal","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1196,
1046,Extracting data from complex PDFs using pdfplumber,"Wonderful tools such as Tabula have made it easier to extract tabular data from PDFs. But what if your pile of PDFs is more complex than that? Maybe there are a few bits of info that you need to grab outside the tables, or maybe the information isn't tabular at all?

In this session, we'll use pdfplumber, an open-source Python library, to demonstrate some techniques. We'll also demystify some aspects of the PDF file format, which will come in handy no matter what tools you use.

This session would be good for: People with some prior experience using Python.
Laptops will be provided.",Hands-on,2025-03-06T22:45:00Z,2025-03-06T23:45:00Z,60,1h,,,Intermediate,Thursday,No,Jeremy Singer-Vine - The New York Times,"Lafayette Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1046,
1012,Making publishable graphics in R Studio,"Explore different graphics types and styling you can do in R Studio and then export into Adobe Illustrator for publication.
This session is good for: beginners with some R Studio experience.
Laptops will be provided.",Hands-on,2025-03-06T22:45:00Z,2025-03-06T23:45:00Z,60,1h,,,Intermediate,Thursday,No,"Maureen Linke - The Wall Street Journal, Stephanie Stamm - The Wall Street Journal","Crystal Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1012,
1094,Updating data practices for inclusion,"With data collection, algorithms and artificial intelligence affecting larger and larger parts of our lives, journalists should become more and more comfortable with using data for reporting. But how can they do this while keeping diversity and inclusion in mind, and not leaving some groups behind, or emphasizing a status quo that disadvantages minorities? Let's talk - What have your experiences been? What resources do you know of? How can we improve our own practices and encourage sources to update theirs?",Commons,2025-03-06T22:45:00Z,2025-03-06T23:45:00Z,60,1h,,,,Thursday,No,Samantha Sunne - Independent journalist,"Birch Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1094,
1129,How economic development incentives impact public budgets,"Companies receive upwards of $95 billion in economic development subsidies per year. While those deals are often reported upon, what's less analyzed are the impacts of those tax breaks and other subsidies on budgets, and what, if anything, communities get in return. Using Subsidy Tracker and Tax Break Tracker help answer those questions. Learn how to use the databases and how reporters have used them in their reporting to show the impact of corporate giveaways. Subsidy Tracker lets users explore what companies are receiving incentives and where, and Tax Break Tracker shows users how much revenue governments give up in the name of economic development. This session would be especially useful for local and state government reporters, as well as those covering education (the public service that loses the most funding when incentives are given due to its dependence on property taxes).
Attendees will need to bring their own laptop.",Hands-on,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,Beginner,Friday,No,"Arlene Martinez - Good Jobs First, Jeremy Thompson - Good Jobs First","Birch Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1129,
1056,"How to use CensusDis, the friendliest Python API for U.S. Census data","CensusDis is a simple Python package for accessing the US Census API. Unlike competing packages, it gives access to almost everything the Census Bureau produces, including American Community Survey, the Current Population Survey, the Supplemental Poverty Measure and so on. It even has methods for downloading geographic resources like Tiger Shapefiles. It has methods for quickly exploring which datasets and tables are available, so that you know what exists before you configure a whole script to try and download it. The greatest feature, however, is that it can download your census data and output a choropleth of any geography in a single function call. Learn how to make your work with the Census faster, more reliable and more enjoyable.
This session is good for journalists with some Python experience.
Laptops will be provided.",Hands-on,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,Intermediate,Friday,No,Scott Pham - CBS News,"Lafayette Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1056,
1008,Navigating your mental health in journalism,"As journalists, we face a number of pressures and issues that can make it difficult to maintain a healthy and sustainable professional life. This will be a facilitated discussion where everyone can share challenges they’re facing and discuss possible ways to address those and take better care of ourselves. This will be an off-the-record, roundtable-style discussion.",Commons,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,,Friday,Yes,"Jasmine Han - Informa TechTarget (Industry Dive), Karen K. Ho - ARTnews, Khushboo Rathaore - Wisconsin Watch","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1008,
1113,Reporting on America's prison and jail death crisis,"It’s been a decade since Congress passed the Deaths in Custody Reporting Act, but the federal government still doesn’t know how many people die in jails or prisons or during arrests. Even worse, it has since told the inspector general that it has “no plans” of releasing the data it has already collected and is currently battling with USA Today and the Appeal in separate lawsuits, each seeking the data that the federal government has collected under DCRA.

But where do you start now? The lack of direction from the federal government means that each state handles this data differently. Different agencies collect different pieces of the data, and you’ll have to string it together yourself. In this panel, reporters who’ve done the hard work of piecing deaths in custody data together will walk you through how you can build your own database to hold jails, prisons and police agencies accountable.",Panel,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,,Friday,Yes,"Ethan Corey - The Appeal, A.J. Lagoe - KARE-TV, Ilica Mahajan - The Marshall Project","Grand Portage Ballroom 1, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1113,
1092,Scraping without programming,"Yes, you can scrape data without using code -- in fact, all you need is Google Sheets! We'll be using Excel-type formulas (don't worry if you don't know what those are, either) to make simple scrapers that automatically pull data into Google Sheets. It’s the best way to get around clunky websites and unhelpful PIOs!

This session is good for: Beginners who want to start using data for their stories. Attendees will need to bring their own laptop (no tablets) for the training and must have a Google account.",Hands-on,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,Beginner,Friday,No,Samantha Sunne - Independent journalist,"Cedar Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1092,
1195,Tidycensus will convince you to learn R,"Tired of dealing with tabs, weird variable names, and disappearing leading zeros with Census data? Learn how to use Tidycensus, a well-designed R package that pulls data from the Census API and structures it in a logical, tidy way, which makes it easier for you to join with other data and analyze.
This session is good for: beginners and journalists with some R experience. Laptops will be provided.",Hands-on,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,Intermediate,Friday,No,Andrew Ba Tran - The Washington Post,"Spring Park Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1195,
1019,What's involved in data editing?,"Though more and more newsrooms have embraced data journalism, not every newsroom has a data editor. So what goes into data editing, why do we need it, and how can we help the journalists in our newsrooms use the most accurate and responsible data? In a panel discussion, data editors will explore these questions.",Panel,2025-03-07T15:00:00Z,2025-03-07T16:00:00Z,60,1h,,,,Friday,Yes,"Yoohyun Jung - Boston Globe, Allie Kanik - Houston Chronicle / San Antonio Express-News, Dan Kopf - San Francisco Chronicle, Kai Teoh - The Dallas Morning News, MaryJo Webster - Minnesota Star Tribune","Grand Portage Ballroom 3, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1019,
1023,CAR (data journalism) through the decades,"Join us to learn about how computer-assisted reporting has evolved, how it has influenced IRE, where it's going, what we think might be the next big thing. We’ll discuss advances in technology, trends that turned out to be game-changers and unexpected flops. This panel will be a moderated conversation with time for questions.",Panel,2025-03-07T16:15:00Z,2025-03-07T17:15:00Z,60,1h,,,,Friday,Yes,"Neena Hagen - The Boston Globe, Mark Horvit - University of Missouri, Brant Houston - University of Illinois, Laura Kurtzberg - IRE & NICAR, Shawn McIntosh - The Atlanta Journal-Constitution","Grand Portage Ballroom 2, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1023,
1079,Custom dataviz with JavaScript 101,"Interested in building data visualizations for the web? This session will introduce you to charts made with HTML, CSS, and JavaScript, helping you understand how various components combine to create a complete visualization displayed in your browser by coding.
This session is good for journalists who are new to HTML, CSS, and JavaScript. Attendees will need to bring their own laptop (no tablets).",Hands-on,2025-03-07T16:15:00Z,2025-03-07T17:15:00Z,60,1h,,,Intermediate,Friday,No,Jovi Dai - San Jose Mercury News & East Bay Times,"Birch Lake, fourth floor",https://schedules.ire.org/nicar-2025/index.html#1079,
1152,Finding the story: Inflation Reduction Act and bipartisan infrastructure law data,"The Biden administration made historic leaps in devoting funds to infrastructure and climate: roughly $1 billion in direct appropriations and an estimated $527 billion in tax credits to support the transition to clean energy, improve climate resilience, and address long-standing climate concerns. But tracking how much money has been spent is not always a simple task. POLITICO has tracked obligations made from the majority of this funding, reported on the status of the billions of dollars in private clean energy manufacturing investments and launched a massive FOIA effort to achieve a granular understanding of where this money has gone.

In this session, we will break down the specific data resources any reporter needs to follow the money—whether they are interested in funds from a specific federal department, funds going to a specific county, or even funds meant to achieve a specific purpose, we will show you what is knowable, how to know it, and how to fact-check it. We will also walk through what is not knowable and what should always be confirmed with federal agencies before going to print.
This session is good for journalists with an interest in infrastructure data. Laptops will be provided.",Hands-on,2025-03-07T16:15:00Z,2025-03-07T17:15:00Z,60,1h,,,Beginner,Friday,No,Jessie Blaeser - Politico,"Spring Park Bay, eighth floor",https://schedules.ire.org/nicar-2025/index.html#1152,
